Month Number,Month,Year,Temp - F,Temp - C,Precip - Inches,Precip - Centimeters,Height - Inches,Height - Centimeters,Number of Deer,Number of Coyotes
1,1,2019,23.502489,-4.720839444,7.37723,18.7381642,0.49114,1.2474956,1,0
2,2,2019,33.51506,0.8417,11.783712,29.93062848,5.080137,12.90354798,0,0
3,3,2019,43.507309,6.392949444,12.954379,32.90412266,11.562894,29.36975076,1,0
4,4,2019,53.654278,12.03015444,13.499528,34.28880112,12.159897,30.88613838,2,0
5,5,2019,56.156746,13.42041444,8.292926,21.06403204,11.731047,29.79685938,3,0
6,6,2019,73.256371,22.92020611,9.27128,23.5490512,10.231172,25.98717688,4,0
7,7,2019,64.541809,18.07878278,3.165481,8.04032174,8.243319,20.93803026,5,0
8,8,2019,68.357056,20.19836444,1.985831,5.04401074,5.744674,14.59147196,6,1
9,9,2019,61.807644,16.55980222,0,0,2.76999,7.0357746,4,2
10,10,2019,48.067955,8.926641667,1.5398,3.911092,2.809629,7.13645766,2,0
11,11,2019,29.335644,-1.480197778,0.584238,1.48396452,2.866795,7.2816593,3,0
12,12,2019,38.291908,3.495504444,2.866669,7.28133926,6.038021,15.33657334,2,0
13,1,2020,39.959473,4.421929444,7.840251,19.91423754,12.673304,32.19019216,3,0
14,2,2020,40.770592,4.872551111,11.569693,29.38702022,18.932386,48.08826044,4,0
15,3,2020,50.405891,10.225495,12.257707,31.13457578,19.506855,49.5474117,5,0
16,4,2020,56.60714,13.67063333,12.73894,32.3569076,17.477549,44.39297446,6,1
17,5,2020,72.259506,22.36639222,12.061573,30.63639542,14.477781,36.77356374,6,2
18,6,2020,78.503799,25.83544389,8.699986,22.09796444,11.477784,29.15357136,6,3
19,7,2020,76.647194,24.80399667,5.383763,13.67475802,8.477794,21.53359676,6,4
20,8,2020,56.586838,13.65935444,1.871452,4.75348808,5.741605,14.5836767,6,5
21,9,2020,48.363506,9.090836667,0,0,4.20383,10.6777282,3,6
22,10,2020,48.285332,9.047406667,0,0,4.18521,10.6304334,2,4
23,11,2020,40.362579,4.645877222,0,0,6.124379,15.55592266,2,2
24,12,2020,28.405134,-1.997147778,4.582584,11.63976336,6.679493,16.96591222,2,0
25,1,2021,33.244865,0.691591667,8.131734,20.65460436,10.574516,26.85927064,3,0
26,2,2021,34.369091,1.316161667,10.456912,26.56055648,14.888596,37.81703384,4,0
27,3,2021,43.929726,6.627625556,12.627213,32.07312102,19.286636,48.98805544,5,0
28,4,2021,56.020264,13.34459111,13.161412,33.42998648,17.342634,44.05029036,6,1
29,5,2021,72.851761,22.69542278,11.08121,28.1462734,14.342796,36.43070184,6,2
30,6,2021,74.100945,23.38941389,8.787346,22.31985884,11.342867,28.81088218,6,3
31,7,2021,64.886787,18.27043722,3.25414,8.2655156,8.353233,21.21721182,6,4
32,8,2021,72.289764,22.38320222,2.322585,5.8993659,5.353365,13.5975471,6,5
33,9,2021,59.796803,15.44266833,0.428976,1.08959904,2.416927,6.13899458,3,6
34,10,2021,53.419579,11.89976611,0,0,1.402994,3.56360476,0,4
35,11,2021,42.914482,6.063601111,2.991401,7.59815854,5.899474,14.98466396,0,2
36,12,2021,35.714794,2.063774444,3.580071,9.09338034,10.308512,26.18362048,1,0
37,1,2022,20.861622,-6.187987778,5.956326,15.12906804,9.982835,25.3564009,2,0
38,2,2022,44.31208,6.840044444,9.001614,22.86409956,15.559536,39.52122144,3,0
39,3,2022,46.521786,8.067658889,10.646255,27.0414877,19.266142,48.93600068,4,0
40,4,2022,47.324574,8.513652222,11.172207,28.37740578,21.880657,55.57686878,5,0
41,5,2022,62.468338,16.92685444,10.997932,27.93474728,19.431513,49.35604302,6,1
42,6,2022,60.542835,15.85713056,6.479955,16.4590857,16.535391,41.99989314,6,2
43,7,2022,78.141617,25.63423167,2.684113,6.81764702,13.535393,34.37989822,6,3
44,8,2022,65.791489,18.77304944,2.502887,6.35733298,10.541282,26.77485628,6,4
45,9,2022,56.515812,13.61989556,0.825385,2.0964779,7.766651,19.72729354,6,5
46,10,2022,53.261711,11.81206167,0,0,5.273629,13.39501766,5,6
47,11,2022,41.073792,5.040995556,1.817652,4.61683608,6.822359,17.32879186,4,7
48,12,2022,24.175461,-4.346966111,4.536805,11.5234847,5.307564,13.48121256,3,5
49,1,2023,27.766979,-2.351678333,9.102037,23.11917398,5.584535,14.1847189,2,3
50,2,2023,28.391434,-2.004758889,9.162803,23.27351962,6.648945,16.8883203,2,1
51,3,2023,46.219635,7.899797222,13.110101,33.29965654,10.581592,26.87724368,2,0
52,4,2023,46.827885,8.237713889,11.701051,29.72066954,14.457497,36.72204238,3,0
53,5,2023,59.408199,15.22677722,9.800231,24.89258674,13.142434,33.38178236,4,0
54,6,2023,62.385582,16.88087889,8.360818,21.23647772,11.194327,28.43359058,5,0
55,7,2023,77.128708,25.07150444,6.04039,15.3425906,8.694334,22.08360836,6,1
56,8,2023,64.516525,18.06473611,2.347804,5.96342216,5.705258,14.49135532,6,2
57,9,2023,58.856285,14.92015833,1.567266,3.98085564,2.817482,7.15640428,4,3
58,10,2023,37.866268,3.259037778,0,0,3.629531,9.21900874,2,1
59,11,2023,37.000488,2.778048889,3.070812,7.79986248,7.15325,18.169255,2,0
