ArrayMulti,1024,8,128,0.017503
ArrayMultiAdd,1024,8,128,0.022436
ArrayMultiReduce,1024,8,128,0.024182
ArrayMultiReduceDouble,1024,8,128,0.023630
ArrayMulti,1024,16,64,0.016976
ArrayMultiAdd,1024,16,64,0.020398
ArrayMultiReduce,1024,16,64,0.025093
ArrayMultiReduceDouble,1024,16,64,0.023502
ArrayMulti,1024,32,32,0.015960
ArrayMultiAdd,1024,32,32,0.022187
ArrayMultiReduce,1024,32,32,0.022203
ArrayMultiReduceDouble,1024,32,32,0.024056
ArrayMulti,1024,64,16,0.017909
ArrayMultiAdd,1024,64,16,0.023783
ArrayMultiReduce,1024,64,16,0.023777
ArrayMultiReduceDouble,1024,64,16,0.022855
ArrayMulti,1024,128,8,0.018362
ArrayMultiAdd,1024,128,8,0.023369
ArrayMultiReduce,1024,128,8,0.022521
ArrayMultiReduceDouble,1024,128,8,0.021416
ArrayMulti,1024,256,4,0.016136
ArrayMultiAdd,1024,256,4,0.020510
ArrayMultiReduce,1024,256,4,0.022279
ArrayMultiReduceDouble,1024,256,4,0.022734
ArrayMulti,1024,512,2,0.021647
ArrayMultiAdd,1024,512,2,0.024929
ArrayMultiReduce,1024,512,2,0.023706
ArrayMultiReduceDouble,1024,512,2,0.022203
ArrayMulti,1024,1024,1,0.013826
ArrayMultiAdd,1024,1024,1,0.020607
ArrayMultiReduce,1024,1024,1,0.020126
ArrayMultiReduceDouble,1024,1024,1,0.022931
ArrayMulti,2048,8,256,0.035675
ArrayMultiAdd,2048,8,256,0.050659
ArrayMultiReduce,2048,8,256,0.048690
ArrayMultiReduceDouble,2048,8,256,0.045831
ArrayMulti,2048,16,128,0.037195
ArrayMultiAdd,2048,16,128,0.048462
ArrayMultiReduce,2048,16,128,0.048244
ArrayMultiReduceDouble,2048,16,128,0.045579
ArrayMulti,2048,32,64,0.031709
ArrayMultiAdd,2048,32,64,0.046575
ArrayMultiReduce,2048,32,64,0.040475
ArrayMultiReduceDouble,2048,32,64,0.048344
ArrayMulti,2048,64,32,0.038041
ArrayMultiAdd,2048,64,32,0.050489
ArrayMultiReduce,2048,64,32,0.038625
ArrayMultiReduceDouble,2048,64,32,0.037038
ArrayMulti,2048,128,16,0.038738
ArrayMultiAdd,2048,128,16,0.048211
ArrayMultiReduce,2048,128,16,0.044210
ArrayMultiReduceDouble,2048,128,16,0.040739
ArrayMulti,2048,256,8,0.033272
ArrayMultiAdd,2048,256,8,0.044901
ArrayMultiReduce,2048,256,8,0.048987
ArrayMultiReduceDouble,2048,256,8,0.044938
ArrayMulti,2048,512,4,0.035950
ArrayMultiAdd,2048,512,4,0.045496
ArrayMultiReduce,2048,512,4,0.040274
ArrayMultiReduceDouble,2048,512,4,0.042682
ArrayMulti,2048,1024,2,0.035024
ArrayMultiAdd,2048,1024,2,0.045485
ArrayMultiReduce,2048,1024,2,0.041158
ArrayMultiReduceDouble,2048,1024,2,0.043627
ArrayMulti,4096,8,512,0.060676
ArrayMultiAdd,4096,8,512,0.098476
ArrayMultiReduce,4096,8,512,0.102449
ArrayMultiReduceDouble,4096,8,512,0.081239
ArrayMulti,4096,16,256,0.066107
ArrayMultiAdd,4096,16,256,0.088750
ArrayMultiReduce,4096,16,256,0.078663
ArrayMultiReduceDouble,4096,16,256,0.089681
ArrayMulti,4096,32,128,0.057715
ArrayMultiAdd,4096,32,128,0.097680
ArrayMultiReduce,4096,32,128,0.094245
ArrayMultiReduceDouble,4096,32,128,0.077174
ArrayMulti,4096,64,64,0.071726
ArrayMultiAdd,4096,64,64,0.098143
ArrayMultiReduce,4096,64,64,0.085447
ArrayMultiReduceDouble,4096,64,64,0.085181
ArrayMulti,4096,128,32,0.065971
ArrayMultiAdd,4096,128,32,0.079927
ArrayMultiReduce,4096,128,32,0.079040
ArrayMultiReduceDouble,4096,128,32,0.084770
ArrayMulti,4096,256,16,0.067964
ArrayMultiAdd,4096,256,16,0.090736
ArrayMultiReduce,4096,256,16,0.091225
ArrayMultiReduceDouble,4096,256,16,0.085793
ArrayMulti,4096,512,8,0.074054
ArrayMultiAdd,4096,512,8,0.097845
ArrayMultiReduce,4096,512,8,0.087724
ArrayMultiReduceDouble,4096,512,8,0.084948
ArrayMulti,4096,1024,4,0.062664
ArrayMultiAdd,4096,1024,4,0.080002
ArrayMultiReduce,4096,1024,4,0.083490
ArrayMultiReduceDouble,4096,1024,4,0.091355
ArrayMulti,8192,8,1024,0.149481
ArrayMultiAdd,8192,8,1024,0.198903
ArrayMultiReduce,8192,8,1024,0.191814
ArrayMultiReduceDouble,8192,8,1024,0.188343
ArrayMulti,8192,16,512,0.146247
ArrayMultiAdd,8192,16,512,0.197127
ArrayMultiReduce,8192,16,512,0.168928
ArrayMultiReduceDouble,8192,16,512,0.183135
ArrayMulti,8192,32,256,0.145501
ArrayMultiAdd,8192,32,256,0.180751
ArrayMultiReduce,8192,32,256,0.188743
ArrayMultiReduceDouble,8192,32,256,0.197117
ArrayMulti,8192,64,128,0.133692
ArrayMultiAdd,8192,64,128,0.179315
ArrayMultiReduce,8192,64,128,0.186300
ArrayMultiReduceDouble,8192,64,128,0.169288
ArrayMulti,8192,128,64,0.159928
ArrayMultiAdd,8192,128,64,0.182951
ArrayMultiReduce,8192,128,64,0.065142
ArrayMultiReduceDouble,8192,128,64,0.194054
ArrayMulti,8192,256,32,0.132948
ArrayMultiAdd,8192,256,32,0.186343
ArrayMultiReduce,8192,256,32,0.187950
ArrayMultiReduceDouble,8192,256,32,0.203614
ArrayMulti,8192,512,16,0.142247
ArrayMultiAdd,8192,512,16,0.158729
ArrayMultiReduce,8192,512,16,0.167081
ArrayMultiReduceDouble,8192,512,16,0.186887
ArrayMulti,8192,1024,8,0.136839
ArrayMultiAdd,8192,1024,8,0.188895
ArrayMultiReduce,8192,1024,8,0.188028
ArrayMultiReduceDouble,8192,1024,8,0.180628
ArrayMulti,16384,8,2048,0.271695
ArrayMultiAdd,16384,8,2048,0.332812
ArrayMultiReduce,16384,8,2048,0.405786
ArrayMultiReduceDouble,16384,8,2048,0.382929
ArrayMulti,16384,16,1024,0.236156
ArrayMultiAdd,16384,16,1024,0.347163
ArrayMultiReduce,16384,16,1024,0.392525
ArrayMultiReduceDouble,16384,16,1024,0.364875
ArrayMulti,16384,32,512,0.241474
ArrayMultiAdd,16384,32,512,0.353576
ArrayMultiReduce,16384,32,512,0.330736
ArrayMultiReduceDouble,16384,32,512,0.358097
ArrayMulti,16384,64,256,0.330556
ArrayMultiAdd,16384,64,256,0.424060
ArrayMultiReduce,16384,64,256,0.342496
ArrayMultiReduceDouble,16384,64,256,0.331828
ArrayMulti,16384,128,128,0.224389
ArrayMultiAdd,16384,128,128,0.385987
ArrayMultiReduce,16384,128,128,0.315976
ArrayMultiReduceDouble,16384,128,128,0.391596
ArrayMulti,16384,256,64,0.242335
ArrayMultiAdd,16384,256,64,0.338729
ArrayMultiReduce,16384,256,64,0.360738
ArrayMultiReduceDouble,16384,256,64,0.345457
ArrayMulti,16384,512,32,0.290507
ArrayMultiAdd,16384,512,32,0.398444
ArrayMultiReduce,16384,512,32,0.348744
ArrayMultiReduceDouble,16384,512,32,0.343106
ArrayMulti,16384,1024,16,0.274049
ArrayMultiAdd,16384,1024,16,0.391905
ArrayMultiReduce,16384,1024,16,0.376056
ArrayMultiReduceDouble,16384,1024,16,0.316654
ArrayMulti,32768,8,4096,0.498153
ArrayMultiAdd,32768,8,4096,0.738151
ArrayMultiReduce,32768,8,4096,0.675545
ArrayMultiReduceDouble,32768,8,4096,0.613667
ArrayMulti,32768,16,2048,0.634350
ArrayMultiAdd,32768,16,2048,0.606815
ArrayMultiReduce,32768,16,2048,0.751767
ArrayMultiReduceDouble,32768,16,2048,0.633382
ArrayMulti,32768,32,1024,0.572497
ArrayMultiAdd,32768,32,1024,0.797508
ArrayMultiReduce,32768,32,1024,0.752112
ArrayMultiReduceDouble,32768,32,1024,0.759239
ArrayMulti,32768,64,512,0.607265
ArrayMultiAdd,32768,64,512,0.635260
ArrayMultiReduce,32768,64,512,0.745066
ArrayMultiReduceDouble,32768,64,512,0.775813
ArrayMulti,32768,128,256,0.618825
ArrayMultiAdd,32768,128,256,0.692696
ArrayMultiReduce,32768,128,256,0.708681
ArrayMultiReduceDouble,32768,128,256,0.706405
ArrayMulti,32768,256,128,0.640138
ArrayMultiAdd,32768,256,128,0.704976
ArrayMultiReduce,32768,256,128,0.806656
ArrayMultiReduceDouble,32768,256,128,0.796810
ArrayMulti,32768,512,64,0.479408
ArrayMultiAdd,32768,512,64,0.750029
ArrayMultiReduce,32768,512,64,0.787806
ArrayMultiReduceDouble,32768,512,64,0.804478
ArrayMulti,32768,1024,32,0.560204
ArrayMultiAdd,32768,1024,32,0.653726
ArrayMultiReduce,32768,1024,32,0.697473
ArrayMultiReduceDouble,32768,1024,32,0.637324
ArrayMulti,65536,8,8192,0.974600
ArrayMultiAdd,65536,8,8192,1.301247
ArrayMultiReduce,65536,8,8192,1.264051
ArrayMultiReduceDouble,65536,8,8192,0.995927
ArrayMulti,65536,16,4096,0.940501
ArrayMultiAdd,65536,16,4096,1.437477
ArrayMultiReduce,65536,16,4096,1.479468
ArrayMultiReduceDouble,65536,16,4096,1.315139
ArrayMulti,65536,32,2048,1.093597
ArrayMultiAdd,65536,32,2048,1.165250
ArrayMultiReduce,65536,32,2048,1.397326
ArrayMultiReduceDouble,65536,32,2048,1.266103
ArrayMulti,65536,64,1024,1.104937
ArrayMultiAdd,65536,64,1024,1.419173
ArrayMultiReduce,65536,64,1024,1.417209
ArrayMultiReduceDouble,65536,64,1024,1.339684
ArrayMulti,65536,128,512,1.129736
ArrayMultiAdd,65536,128,512,1.295408
ArrayMultiReduce,65536,128,512,1.521051
ArrayMultiReduceDouble,65536,128,512,1.404122
ArrayMulti,65536,256,256,0.766001
ArrayMultiAdd,65536,256,256,1.481374
ArrayMultiReduce,65536,256,256,1.156695
ArrayMultiReduceDouble,65536,256,256,1.483319
ArrayMulti,65536,512,128,1.124773
ArrayMultiAdd,65536,512,128,1.359922
ArrayMultiReduce,65536,512,128,1.503085
ArrayMultiReduceDouble,65536,512,128,1.278252
ArrayMulti,65536,1024,64,1.133351
ArrayMultiAdd,65536,1024,64,1.492575
ArrayMultiReduce,65536,1024,64,1.434613
ArrayMultiReduceDouble,65536,1024,64,1.329870
ArrayMulti,131072,8,16384,1.572323
ArrayMultiAdd,131072,8,16384,1.760963
ArrayMultiReduce,131072,8,16384,1.930198
ArrayMultiReduceDouble,131072,8,16384,0.575551
ArrayMulti,131072,16,8192,1.915053
ArrayMultiAdd,131072,16,8192,2.322078
ArrayMultiReduce,131072,16,8192,2.382737
ArrayMultiReduceDouble,131072,16,8192,0.363656
ArrayMulti,131072,32,4096,2.389383
ArrayMultiAdd,131072,32,4096,2.595742
ArrayMultiReduce,131072,32,4096,2.457109
ArrayMultiReduceDouble,131072,32,4096,0.772052
ArrayMulti,131072,64,2048,2.216863
ArrayMultiAdd,131072,64,2048,2.831846
ArrayMultiReduce,131072,64,2048,3.168210
ArrayMultiReduceDouble,131072,64,2048,0.859816
ArrayMulti,131072,128,1024,2.172512
ArrayMultiAdd,131072,128,1024,2.916081
ArrayMultiReduce,131072,128,1024,2.818571
ArrayMultiReduceDouble,131072,128,1024,0.574562
ArrayMulti,131072,256,512,2.397556
ArrayMultiAdd,131072,256,512,2.850197
ArrayMultiReduce,131072,256,512,3.025949
ArrayMultiReduceDouble,131072,256,512,0.618684
ArrayMulti,131072,512,256,2.011386
ArrayMultiAdd,131072,512,256,3.071616
ArrayMultiReduce,131072,512,256,2.793283
ArrayMultiReduceDouble,131072,512,256,0.719085
